# brand-owned source domain	packaged SVG slug
1001tracklists.com	1001tracklists
1password.com	1password
2k.com	2k
365datascience.com	365datascience
4chan.org	4chan
4d.com	4d
500px.com	500px
99designs.com	99designs
abbvie.com	abbvie
accenture.com	accenture
accusoft.com	accusoft
accuweather.com	accuweather
acer.com	acer
activision.com	activision
activitypub.rocks	activitypub
adafruit.com	adafruit
adblockplus.org	adblockplus
adguard.com	adguard
adidas.com	adidas
adminer.org	adminer
adonisjs.com	adonisjs
aeroflot.ru	aeroflot
aeromexico.com	aeromexico
afdian.com	afdian
aframe.io	aframe
aftership.com	aftership
airbnb.com	airbnb
airbus.com	airbus
airfrance.fr	airfrance
airindia.com	airindia
airtable.com	airtable
airtransat.com	airtransat
akamai.com	akamai
akasaair.com	akasaair
akiflow.com	akiflow
alipay.com	alipay
almalinux.org	almalinux
alpinelinux.org	alpinelinux
alternativeto.net	alternativeto
amd.com	amd
amp.dev	amp
anaconda.com	anaconda
analogue.co	analogue
anichart.net	anichart
animalplanet.com	animalplanet
ankermake.com	ankermake
ansible.com	ansible
answer.dev	answer
anta.com	anta
anthropic.com	anthropic
anycubic.com	anycubic
apache.org	apache
aparat.com	aparat
apifox.com	apifox
apmterminals.com	apmterminals
apple.com	apple
appveyor.com	appveyor
arc.net	arc
archiveofourown.org	archiveofourown
archlinux.org	archlinux
arlo.com	arlo
arstechnica.com	arstechnica
artstation.com	artstation
asana.com	asana
astonmartin.com	astonmartin
astro.build	astro
asus.com	asus
atlassian.design	atlassian
atomgit.com	atomgit
auchan.fr	auchan
auth0.com	auth0
autodesk.com	autodesk
awesomewm.org	awesomewm
baidu.com	baidu
bambulab.com	bambulab
bandcamp.com	bandcamp
barmenia.de	barmenia
baserow.io	baserow
bazel.build	bazel
beatport.com	beatport
beatsbydre.com	beatsbydre
beekeeperstudio.io	beekeeperstudio
behance.net	behance
bento.me	bento
bigcartel.com	bigcartel
bilibili.com	bilibili
binance.com	binance
bisecthosting.com	bisecthosting
bitcoincash.org	bitcoincash
bitdefender.com	bitdefender
bitly.com	bitly
bitrise.io	bitrise
bitsy.org	bitsy
bitwarden.com	bitwarden
bitwig.com	bitwig
blackberry.com	blackberry
blender.org	blender
blibli.com	blibli
blockbench.net	blockbench
blogger.com	blogger
bmw.com	bmw
bnbchain.org	bnbchain
boardgamegeek.com	boardgamegeek
bookmyshow.com	bookmyshow
boosty.to	boosty
borgbackup.org	borgbackup
bosch.de	bosch
boulanger.com	boulanger
box.com	box
brandfetch.com	brandfetch
breaker.audio	breaker
broadcom.com	broadcom
bugatti.com	bugatti
bugcrowd.com	bugcrowd
builtbybit.com	builtbybit
bun.sh	bun
bungie.net	bungie
buymeacoffee.com	buymeacoffee
bvg.de	bvg
byjus.com	byjus
bytedance.com	bytedance
calendly.com	calendly
camunda.com	camunda
cardano.org	cardano
carrd.co	carrd
carto.com	carto
castbox.fm	castbox
cbs.com	cbs
centos.org	centos
cesium.com	cesium
changedetection.io	changedetection
channel4.com	channel4
chatbot.design	chatbot
checkmk.com	checkmk
chef.io	chef
cinny.in	cinny
circuitverse.org	circuitverse
cisco.com	cisco
civo.com	civo
clarivate.com	clarivate
claude.ai	claude
cloud66.com	cloud66
cloudbees.com	cloudbees
cloudera.com	cloudera
cloudflare.com	cloudflare
cloudfoundry.org	cloudfoundry
cloudinary.com	cloudinary
clubhouse.com	clubhouse
clyp.it	clyp
cnet.com	cnet
cnn.com	cnn
codacy.com	codacy
codeberg.org	codeberg
codebuddy.cn	codebuddy
