# Site domain	packaged SVG slug	upstream brand source URL
1001tracklists.com	1001tracklists	https://www.1001tracklists.com
1password.com	1password	https://1password.com/press
2k.com	2k	https://support.2k.com/hc/en-us/articles/203972113-Digital-Copies-of-2K-Manuals
365datascience.com	365datascience	https://365datascience.com
4chan.org	4chan	https://www.4chan.org
4d.com	4d	https://www.4d.com
500px.com	500px	https://500px.com
99designs.com	99designs	https://99designs.com/branding
abbvie.com	abbvie	https://www.abbvie.com
accenture.com	accenture	https://www.accenture.com
accusoft.com	accusoft	https://www.accusoft.com
accuweather.com	accuweather	https://accuweather.com
acer.com	acer	https://www.acer.com
activision.com	activision	https://www.activision.com
activitypub.rocks	activitypub	https://activitypub.rocks
adafruit.com	adafruit	https://www.adafruit.com
adblockplus.org	adblockplus	https://adblockplus.org
adguard.com	adguard	https://adguard.com/en/media-materials.html
adidas.com	adidas	https://www.adidas.com
adminer.org	adminer	https://www.adminer.org
adonisjs.com	adonisjs	https://adonisjs.com
aeroflot.ru	aeroflot	https://www.aeroflot.ru/ru-en/information/onboard/press
aeromexico.com	aeromexico	https://www.aeromexico.com
afdian.com	afdian	https://afdian.com/album/248b4bb2c9b111e9a9bb52540025c377/c3d32ae4b5f311eab4a952540025c377
aframe.io	aframe	https://aframe.io/docs
aftership.com	aftership	https://www.aftership.com
airbnb.com	airbnb	https://www.airbnb.com
airbus.com	airbus	https://brand.airbus.com/en/asset-library/airbus-logo
airfrance.fr	airfrance	https://www.airfrance.fr
airindia.com	airindia	https://www.airindia.com
airtable.com	airtable	https://airtable.com/newsroom
airtransat.com	airtransat	https://www.airtransat.com
akamai.com	akamai	https://www.akamai.com
akasaair.com	akasaair	https://www.akasaair.com
akiflow.com	akiflow	https://www.akiflow.com
alipay.com	alipay	https://global.alipay.com/docs/ac/website_hk/design
almalinux.org	almalinux	https://almalinux.org
alpinelinux.org	alpinelinux	https://alpinelinux.org
alternativeto.net	alternativeto	https://alternativeto.net
amd.com	amd	https://www.amd.com
amp.dev	amp	https://amp.dev
anaconda.com	anaconda	https://www.anaconda.com
analogue.co	analogue	https://www.analogue.co
anichart.net	anichart	https://anichart.net
animalplanet.com	animalplanet	https://www.animalplanet.com
ankermake.com	ankermake	https://www.ankermake.com
ansible.com	ansible	https://www.ansible.com/logos
answer.dev	answer	https://answer.dev
anta.com	anta	https://www.anta.com
anthropic.com	anthropic	https://www.anthropic.com
anycubic.com	anycubic	https://store.anycubic.com/pages/firmware-software
apache.org	apache	https://www.apache.org/foundation/press/kit
aparat.com	aparat	https://www.aparat.com/logo
apifox.com	apifox	https://apifox.com
apmterminals.com	apmterminals	https://www.apmterminals.com
apple.com	apple	https://www.apple.com
appveyor.com	appveyor	https://www.appveyor.com
arc.net	arc	https://arc.net
archiveofourown.org	archiveofourown	https://archiveofourown.org
archlinux.org	archlinux	https://www.archlinux.org/art
arlo.com	arlo	https://www.arlo.com
arstechnica.com	arstechnica	https://arstechnica.com
artstation.com	artstation	https://www.artstation.com/about/logo
asana.com	asana	https://asana.com/brand
astonmartin.com	astonmartin	https://www.astonmartin.com
astro.build	astro	https://astro.build/press
asus.com	asus	https://www.asus.com
atlassian.design	atlassian	https://atlassian.design/resources/logo-library
atomgit.com	atomgit	https://cdn-static.atomgit.com/doc/logo.svg
auchan.fr	auchan	https://www.auchan.fr
auth0.com	auth0	https://auth0.com
autodesk.com	autodesk	https://brand.autodesk.com/brand-system/logo
awesomewm.org	awesomewm	https://awesomewm.org
baidu.com	baidu	https://www.baidu.com
bambulab.com	bambulab	https://bambulab.com
bandcamp.com	bandcamp	https://bandcamp.com/buttons
barmenia.de	barmenia	https://barmenia.de
baserow.io	baserow	https://baserow.io
bazel.build	bazel	https://bazel.build
beatport.com	beatport	https://www.beatport.com
beatsbydre.com	beatsbydre	https://www.beatsbydre.com
beekeeperstudio.io	beekeeperstudio	https://www.beekeeperstudio.io/press
behance.net	behance	https://www.behance.net
bento.me	bento	https://bento.me
bigcartel.com	bigcartel	https://www.bigcartel.com
bilibili.com	bilibili	https://www.bilibili.com
binance.com	binance	https://binance.com
bisecthosting.com	bisecthosting	https://www.bisecthosting.com
bitcoincash.org	bitcoincash	https://www.bitcoincash.org/graphics
bitdefender.com	bitdefender	https://brand.bitdefender.com
bitly.com	bitly	https://bitly.com/pages/press
bitrise.io	bitrise	https://www.bitrise.io/presskit
bitsy.org	bitsy	https://www.bitsy.org/image/cat.svg
bitwarden.com	bitwarden	https://bitwarden.com/brand
bitwig.com	bitwig	https://www.bitwig.com
blackberry.com	blackberry	https://www.blackberry.com
blender.org	blender	https://www.blender.org/about/logo
blibli.com	blibli	https://www.blibli.com
blockbench.net	blockbench	https://www.blockbench.net/wiki/blockbench/logos
blogger.com	blogger	https://www.blogger.com
bmw.com	bmw	https://bmw.com
bnbchain.org	bnbchain	https://www.bnbchain.org
boardgamegeek.com	boardgamegeek	https://boardgamegeek.com
bookmyshow.com	bookmyshow	https://in.bookmyshow.com
boosty.to	boosty	https://boosty.to/app/brand
borgbackup.org	borgbackup	https://www.borgbackup.org
bosch.de	bosch	https://www.bosch.de
boulanger.com	boulanger	https://www.boulanger.com
box.com	box	https://www.box.com/en-gb/about-us/press
brandfetch.com	brandfetch	https://brandfetch.com/brandfetch.com
breaker.audio	breaker	https://www.breaker.audio/i/brand
broadcom.com	broadcom	https://www.broadcom.com/support
bugatti.com	bugatti	https://newsroom.bugatti.com
bugcrowd.com	bugcrowd	https://www.bugcrowd.com/about/press-kit
builtbybit.com	builtbybit	https://builtbybit.com/wiki/branding
bun.sh	bun	https://bun.sh/press-kit
bungie.net	bungie	https://www.bungie.net/7/en/Destiny
buymeacoffee.com	buymeacoffee	https://www.buymeacoffee.com/brand
bvg.de	bvg	https://www.bvg.de
byjus.com	byjus	https://byjus.com/byjus-the-learning-app
bytedance.com	bytedance	https://www.bytedance.com
calendly.com	calendly	https://calendly.com/newsroom
camunda.com	camunda	https://camunda.com/brand
cardano.org	cardano	https://cardano.org/brand-assets/
carrd.co	carrd	https://carrd.co/docs/general/brand-assets
carto.com	carto	https://carto.com/brand/
castbox.fm	castbox	https://castbox.fm/newsroom/
cbs.com	cbs	https://www.cbs.com
centos.org	centos	https://wiki.centos.org/ArtWork/Brand/Logo
cesium.com	cesium	https://cesium.com/press/
changedetection.io	changedetection	https://changedetection.io
channel4.com	channel4	https://mediaassets.channel4.com/guidelines/guide/34286b7b-ea25-404d-a43b-e912fc85b0e0/page/8a2dd59a-51df-4f47-aa37-c235a761455e
chatbot.design	chatbot	https://chatbot.design
checkmk.com	checkmk	https://checkmk.com
chef.io	chef	https://www.chef.io
cinny.in	cinny	https://cinny.in/assets/cinny.svg
circuitverse.org	circuitverse	https://circuitverse.org
cisco.com	cisco	https://www.cisco.com
civo.com	civo	https://www.civo.com/brand-assets
clarivate.com	clarivate	https://clarivate.com
claude.ai	claude	https://claude.ai
cloud66.com	cloud66	https://www.cloud66.com
cloudbees.com	cloudbees	https://www.cloudbees.com
cloudera.com	cloudera	https://www.cloudera.com
cloudflare.com	cloudflare	https://www.cloudflare.com/logo/
cloudfoundry.org	cloudfoundry	https://www.cloudfoundry.org
cloudinary.com	cloudinary	https://cloudinary.com
clubhouse.com	clubhouse	https://www.clubhouse.com/press
clyp.it	clyp	https://clyp.it
cnet.com	cnet	https://www.cnet.com
cnn.com	cnn	https://edition.cnn.com
codacy.com	codacy	https://www.codacy.com/blog/
codeberg.org	codeberg	https://codeberg.org/Codeberg/Design/src/commit/ac514aa9aaa2457d4af3c3e13df3ab136d22a49a/logo/special/codeberg-logo_special_fake-transaprency.svg
codebuddy.cn	codebuddy	https://www.codebuddy.cn
codecademy.com	codecademy	https://www.codecademy.com
codeclimate.com	codeclimate	https://codeclimate.com/github/codeclimate/python-test-reporter/badges/
codecov.io	codecov	https://codecov.io
codeforces.com	codeforces	https://codeforces.com
codemagic.io	codemagic	https://codemagic.io
codementor.io	codementor	https://www.codementor.io
codenewbie.org	codenewbie	https://community.codenewbie.org
codeproject.com	codeproject	https://www.codeproject.com
codesandbox.io	codesandbox	https://codesandbox.io/CodeSandbox-Press-Kit.zip
codestream.com	codestream	https://www.codestream.com
codingninjas.com	codingninjas	https://www.codingninjas.com/press-release
codio.com	codio	https://codio.com
coffeescript.org	coffeescript	https://coffeescript.org
coinmarketcap.com	coinmarketcap	https://www.coinmarketcap.com
comptia.org	comptia	https://www.comptia.org
comsol.com	comsol	https://cdn.comsol.com/company/comsol-brand-guide-November2019.pdf
contentful.com	contentful	https://press.contentful.com/media_kits
continente.pt	continente	https://www.continente.pt
coppel.com	coppel	https://www.coppel.com
coreldraw.com	coreldraw	https://www.coreldraw.com/en/learn/webinars/ebook-embroidery
couchbase.com	couchbase	https://www.couchbase.com
coursera.org	coursera	https://about.coursera.org/press
creativecommons.org	creativecommons	https://creativecommons.org/mission/downloads
crowdin.com	crowdin	https://support.crowdin.com/using-logo/
crunchbase.com	crunchbase	https://crunchbase.com
crunchyroll.com	crunchyroll	https://www.crunchyroll.com
csdn.net	csdn	https://www.csdn.net/company/index.html
csswizardry.com	csswizardry	https://csswizardry.com
curseforge.com	curseforge	https://www.curseforge.com
cursor.com	cursor	https://cursor.com/brand
cyberdefenders.org	cyberdefenders	https://cyberdefenders.org
cypress.io	cypress	https://www.cypress.io/press-kit
dailymotion.com	dailymotion	https://careers.dailymotion.com
dash0.com	dash0	https://www.dash0.com
databricks.com	databricks	https://www.databricks.com
datacamp.com	datacamp	https://www.datacamp.com
dataiku.com	dataiku	https://www.dataiku.com/company/media-kit/
datastax.com	datastax	https://docs.datastax.com/en/astra/astra-db-vector
datocms.com	datocms	https://www.datocms.com/company/brand-assets
datto.com	datto	https://www.datto.com/brand/logos
dazn.com	dazn	https://media.dazn.com/en/assets/
dblp.org	dblp	https://dblp.org
debian.org	debian	https://www.debian.org/logos
deepcool.com	deepcool	https://www.deepcool.com
deepl.com	deepl	https://www.deepl.com/press.html
