# Simple Icons title, verified source domain and display colour
2k	2K	2k.com	DD0700
rockstargames	Rockstar Games	rockstargames.com	FCAF17
wegame	WeGame		FAAB00
eslgaming	ESLGaming	eslgaming.com	FFFF09
heroicgameslauncher	Heroic Games Launcher		4B93FF
gameloft	Gameloft	gameloft.com	AAB6C2
boardgamegeek	BoardGameGeek	boardgamegeek.com	FF5100
playstationvita	PlayStation Vita		AAB6C2
sega	Sega		0089CF
squareenix	Square Enix		ED1C24
gamescience	Game Science		AAB6C2
steamworks	Steamworks		AAB6C2
gamejolt	Game Jolt	gamejolt.com	CCFF00
gamebanana	GameBanana	gamebanana.com	FCEF40
pcgamingwiki	PCGamingWiki	pcgamingwiki.com	556DB3
robloxstudio	Roblox Studio		00A2FF
playstation2	PlayStation 2		AAB6C2
redcandlegames	Red Candle Games	redcandlegames.com	D23735
steamdeck	Steam Deck		1A9FFF
playstation3	PlayStation 3		AAB6C2
steamdb	SteamDB	steamdb.info	AAB6C2
youtubegaming	YouTube Gaming		FF0000
playstation4	PlayStation 4		AAB6C2
atari	Atari		E4202E
playstation5	PlayStation 5		AAB6C2
playstationportable	PlayStation Portable		AAB6C2
rubygems	RubyGems	rubygems.org	E9573F
twinmotion	Twinmotion	twinmotion.com	AAB6C2
uservoice	UserVoice	uservoice.com	FF6720
qualtrics	Qualtrics	qualtrics.com	00B4EF
splunk	Splunk	splunk.com	AAB6C2
linuxfoundation	Linux Foundation	linuxfoundation.org	AAB6C2
v8	V8	v8.dev	4B8BF5
sketchfab	Sketchfab	sketchfab.com	1CAAD9
nba	NBA	nba.com	AAB6C2
fitbit	Fitbit	fitbit.com	00B0B9
scopus	Scopus	scopus.com	E9711C
smartthings	SmartThings	smartthings.com	15BFFF
cinny	Cinny	cinny.in	AAB6C2
notebooklm	NotebookLM	notebooklm.google	AAB6C2
atomgit	AtomGit	atomgit.com	DA203E
element	Element	element.io	0DBD8B
proton	Proton	proton.me	6D4AFF
netdata	Netdata	netdata.cloud	00AB44
deepl	DeepL	deepl.com	AAB6C2
shazam	Shazam	shazam.com	0088FF
dependabot	Dependabot	dependabot.com	025E8C
groupme	GroupMe	groupme.com	00AFF0
spring	Spring	spring.io	6DB33F
beatsbydre	Beats by Dre	beatsbydre.com	E01F3D
qwen	QWen	qwen.ai	6950EF
bnbchain	BNB Chain	bnbchain.org	F0B90B
truenas	TrueNAS	truenas.com	0095D5
boosty	Boosty	boosty.to	F15F2C
newrelic	New Relic	newrelic.com	1CE783
flathub	Flathub	flathub.org	AAB6C2
waze	Waze	waze.com	33CCFF
microbit	micro:bit	microbit.org	00ED00
virtualbox	VirtualBox	virtualbox.org	2F61B4
leagueoflegends	League of Legends	leagueoflegends.com	C28F2C
